index,character
0,Kiyotaka Ayanokōji
1,Suzune Horikita
2,Honami Ichinose
3,Kakeru Ryūen
4,Kei Karuizawa
5,Kikyō Kushida
6,Arisu Sakayanagi
7,Yōsuke Hirata
8,Airi Sakura
9,Ken Sudō
10,Hiyori Shiina
11,Mio Ibuki
12,Manabu Horikita
13,Sae Chabashira
14,Professor Ayanokōji
15,Ichika Amasawa
16,Takuya Yagami
17,Kōhei Katsuragi
18,Miyabi Nagumo
19,Rokusuke Kōenji
20,Akane Tachibana
21,Akito Miyake
22,Albert Yamada
23,Chairman Sakayanagi
24,Chiaki Matsushita
25,Chie Hoshinomiya
26,Chihiro Shiranami
27,Haruka Hasebe
28,Haruki Yamauchi
29,Ikuto Kiriyama
30,Kanji Ike
31,Kazuomi Hōsen
32,Kyō Ishigami
33,Masayoshi Hashimoto
34,Masumi Kamuro
35,Maya Satō
36,Mei-Yu Wang
37,Nazuna Asahina
38,Ryūji Kanzaki
39,Satsuki Shinohara
40,Shirō
41,Takeko Nishino
42,Teruhiko Yukimura
43,Tomonari Mashima
44,Tsubasa Nanase
45,Yuki
