index,course_code,course_name,outgoing_edges,outgoing_edge_codes,outgoing_edge_names,edge_direction
0,01:198:111,INTRO COMPUTER SCI,,,,course -> prerequisite
1,01:640:151,CALCULUS I FOR MATHEMATICAL AND PHYSICALSCIENCES,47,01:640:115,PRECALCULUS COLLEGE MATHEMATICS,course -> prerequisite
2,01:198:112,DATA STRUCTURES,0 49 1,01:198:111 01:640:135 01:640:151,INTRO COMPUTER SCI | CALCULUS I FOR THE LIFE AND SOCIAL SCIENCES | CALCULUS I FOR MATHEMATICAL AND PHYSICALSCIENCES,course -> prerequisite
3,01:198:205,INTRODUCTION TO DISCRETE STRUCTURES I,0,01:198:111,INTRO COMPUTER SCI,course -> prerequisite
4,01:198:211,COMPUTER ARCHITECTURE,2,01:198:112,DATA STRUCTURES,course -> prerequisite
5,01:640:152,CALCULUS II FOR MATHEMATICAL AND PHYSICAL SCIENCES,1,01:640:151,CALCULUS I FOR MATHEMATICAL AND PHYSICALSCIENCES,course -> prerequisite
6,01:640:250,INTRO LINEAR ALGEBRA,5,01:640:152,CALCULUS II FOR MATHEMATICAL AND PHYSICAL SCIENCES,course -> prerequisite
7,01:640:251,MULTIVARIABLE CALCULUS,5,01:640:152,CALCULUS II FOR MATHEMATICAL AND PHYSICAL SCIENCES,course -> prerequisite
8,01:640:252,ELEMENTARY DIFFERENTIAL EQUATIONS,5,01:640:152,CALCULUS II FOR MATHEMATICAL AND PHYSICAL SCIENCES,course -> prerequisite
9,01:640:300,INTRO MATH REASONING,6,01:640:250,INTRO LINEAR ALGEBRA,course -> prerequisite
10,01:198:104,GREAT IDEAS IN COMPUTER SCIENCE,,,,course -> prerequisite
11,01:198:107,COMPUTING FOR MATH AND THE SCIENCES,,,,course -> prerequisite
12,01:198:110,PRINCIPLES OF COMPUTER SCIENCE,,,,course -> prerequisite
13,01:198:142,DATA 101,,,,course -> prerequisite
14,01:198:170,COMPUTER APPLICATIONS FOR BUSINESS,,,,course -> prerequisite
15,01:198:206,INTRODUCTION TO DISCRETE STRUCTURES II,3,01:198:205,INTRODUCTION TO DISCRETE STRUCTURES I,course -> prerequisite
16,01:198:210,DATA MANAGEMENT FOR DATA SCIENCE,0,01:198:111,INTRO COMPUTER SCI,course -> prerequisite
17,01:198:213,SOFTWARE METHODOLOGY,2,01:198:112,DATA STRUCTURES,course -> prerequisite
18,01:198:214,SYSTEMS PROGRAMMING,4,01:198:211,COMPUTER ARCHITECTURE,course -> prerequisite
19,01:198:314,PRINCIPLES OF PROGRAMMING LANGUAGES,4 3,01:198:211 01:198:205,COMPUTER ARCHITECTURE | INTRODUCTION TO DISCRETE STRUCTURES I,course -> prerequisite
20,01:198:323,NUMER ANAL COMPUTING,2 6,01:198:112 01:640:250,DATA STRUCTURES | INTRO LINEAR ALGEBRA,course -> prerequisite
21,01:198:334,INTRODUCTION TO IMAGING AND MULTIMEDIA,2,01:198:112,DATA STRUCTURES,course -> prerequisite
22,01:198:336,PRINCIPLES OF INFORMATION AND DATA MANAGEMENT,2,01:198:112,DATA STRUCTURES,course -> prerequisite
23,01:198:344,DESIGN AND ANALYSIS OF COMPUTER ALGORITHMS,2 3,01:198:112 01:198:205,DATA STRUCTURES | INTRODUCTION TO DISCRETE STRUCTURES I,course -> prerequisite
24,01:198:345,ALGORITHMS IN SOCIETY,2 3,01:198:112 01:198:205,DATA STRUCTURES | INTRODUCTION TO DISCRETE STRUCTURES I,course -> prerequisite
25,01:198:352,INTERNET TECHNOLOGY,2,01:198:112,DATA STRUCTURES,course -> prerequisite
26,01:198:405,SEM COMPUTER & SOCIETY,,,,course -> prerequisite
27,01:198:416,OPERATING SYSTEMS DESIGN,18,01:198:214,SYSTEMS PROGRAMMING,course -> prerequisite
28,01:198:419,COMPUTER SECURITY,18 3,01:198:214 01:198:205,SYSTEMS PROGRAMMING | INTRODUCTION TO DISCRETE STRUCTURES I,course -> prerequisite
29,01:198:425,BRAIN-INSPIRED COMPUTING,2 6,01:198:112 01:640:250,DATA STRUCTURES | INTRO LINEAR ALGEBRA,course -> prerequisite
30,01:198:428,INTRODUCTION TO COMPUTER GRAPHICS,2 6,01:198:112 01:640:250,DATA STRUCTURES | INTRO LINEAR ALGEBRA,course -> prerequisite
31,01:198:437,DATABASE SYSTEMS IMPLEMENTATION,22,01:198:336,PRINCIPLES OF INFORMATION AND DATA MANAGEMENT,course -> prerequisite
